Date,High,Low,Open,Close,Volume,Adj Close
2018-07-02,4.199999809265137,4.019999980926514,4.019999980926514,4.199999809265137,4200,4.199999809265137
2018-07-03,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0,4.199999809265137
2018-07-05,4.199999809265137,4.199999809265137,4.199999809265137,4.199999809265137,0,4.199999809265137
2018-07-06,4.199999809265137,4.170000076293945,4.179999828338623,4.199999809265137,700,4.199999809265137
2018-07-09,4.150000095367432,4.059999942779541,4.150000095367432,4.059999942779541,4100,4.059999942779541
2018-07-10,4.070000171661377,4.070000171661377,4.070000171661377,4.070000171661377,200,4.070000171661377
2018-07-11,4.03000020980835,4.0,4.0,4.03000020980835,500,4.03000020980835
2018-07-12,4.03000020980835,4.03000020980835,4.03000020980835,4.03000020980835,0,4.03000020980835
2018-07-13,4.110000133514404,4.110000133514404,4.110000133514404,4.110000133514404,100,4.110000133514404
2018-07-16,4.190000057220459,3.7699999809265137,4.190000057220459,3.7699999809265137,400,3.7699999809265137
2018-07-17,3.7699999809265137,3.7699999809265137,3.7699999809265137,3.7699999809265137,0,3.7699999809265137
2018-07-18,4.019999980926514,4.019999980926514,4.019999980926514,4.019999980926514,100,4.019999980926514
2018-07-19,4.019999980926514,4.019999980926514,4.019999980926514,4.019999980926514,0,4.019999980926514
2018-07-20,4.050000190734863,3.990000009536743,3.990000009536743,4.050000190734863,1400,4.050000190734863
2018-07-23,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0,4.050000190734863
2018-07-24,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0,4.050000190734863
2018-07-25,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0,4.050000190734863
2018-07-26,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0,4.050000190734863
2018-07-27,4.0,3.9000000953674316,4.0,3.9000000953674316,300,3.9000000953674316
2018-07-30,3.940000057220459,3.5199999809265137,3.5199999809265137,3.880000114440918,14600,3.880000114440918
2018-07-31,3.880000114440918,3.880000114440918,3.880000114440918,3.880000114440918,0,3.880000114440918
2018-08-01,3.9100000858306885,3.859999895095825,3.9100000858306885,3.859999895095825,400,3.859999895095825
2018-08-02,3.7200000286102295,3.5199999809265137,3.5199999809265137,3.7200000286102295,3300,3.7200000286102295
2018-08-03,3.819999933242798,3.4800000190734863,3.799999952316284,3.7899999618530273,4900,3.7899999618530273
2018-08-06,3.7899999618530273,3.7899999618530273,3.7899999618530273,3.7899999618530273,0,3.7899999618530273
2018-08-07,3.75,3.75,3.75,3.75,2000,3.75
2018-08-08,3.75,3.75,3.75,3.75,0,3.75
2018-08-09,3.609999895095825,3.4000000953674316,3.609999895095825,3.4000000953674316,800,3.4000000953674316
2018-08-10,3.8499999046325684,3.7300000190734863,3.8499999046325684,3.75,1200,3.75
2018-08-13,3.690000057220459,3.5899999141693115,3.690000057220459,3.690000057220459,9400,3.690000057220459
2018-08-14,3.640000104904175,3.5899999141693115,3.5899999141693115,3.630000114440918,3400,3.630000114440918
2018-08-15,3.700000047683716,3.2899999618530273,3.700000047683716,3.4800000190734863,4300,3.4800000190734863
2018-08-16,3.5199999809265137,3.450000047683716,3.4800000190734863,3.4600000381469727,7200,3.4600000381469727
2018-08-17,3.5,3.4600000381469727,3.4600000381469727,3.4600000381469727,3000,3.4600000381469727
2018-08-20,3.619999885559082,3.450000047683716,3.619999885559082,3.450000047683716,500,3.450000047683716
2018-08-21,3.4600000381469727,3.309999942779541,3.4600000381469727,3.309999942779541,4100,3.309999942779541
2018-08-22,3.4000000953674316,3.4000000953674316,3.4000000953674316,3.4000000953674316,2000,3.4000000953674316
2018-08-23,3.4100000858306885,3.359999895095825,3.359999895095825,3.4000000953674316,2200,3.4000000953674316
2018-08-24,3.490000009536743,3.4100000858306885,3.4800000190734863,3.4100000858306885,800,3.4100000858306885
2018-08-27,3.380000114440918,3.2899999618530273,3.2899999618530273,3.380000114440918,500,3.380000114440918
2018-08-28,3.4700000286102295,3.369999885559082,3.369999885559082,3.4200000762939453,1100,3.4200000762939453
2018-08-29,3.490000009536743,3.490000009536743,3.490000009536743,3.490000009536743,300,3.490000009536743
2018-08-30,3.4000000953674316,3.309999942779541,3.319999933242798,3.4000000953674316,5500,3.4000000953674316
2018-08-31,3.490000009536743,3.4800000190734863,3.490000009536743,3.4800000190734863,1900,3.4800000190734863
